sampleID,specific.location,System,general.location,latitude,longitude,particles.L.blank.corrected,particles.fish.blank.corrected,particles.kg.blank.corrected,sample.matrix,sample.matrix.specific,Sampling.apparatus,Min.particle.size.um,Max.particle.size.um
17-POC-438-125&355,Rodeo Creek at Seacliff Ct Pedestrian Br,Estuary,NA,38.016,-122.254,1.63,NA,NA,water,stormwater,24-hr pipe,125,5000
17-POC-259-125&355,Refugio Creek at Tsushima St,Estuary,NA,38.018,-122.277,1.65,NA,NA,water,stormwater,24-hr pipe,125,5000
20180406MMPStormSBCCMP125&355,Coyote Creek,Estuary,NA,37.385832,-121.909581,7.2,NA,NA,water,stormwater,24-hr pipe,125,5000
17-POC-283-125&355,Colma Ck at S. Linden Blvd,Estuary,NA,37.65,-122.412,5.63,NA,NA,water,stormwater,24-hr pipe,125,5000
17-POC-515-125&355,Line 12K at Coliseum Entrance,Estuary,NA,37.754,-122.204,4.94,NA,NA,water,stormwater,24-hr pipe,125,5000
17-POC-100-125&355,Line 12F below PG&E station,Estuary,NA,37.762,-122.214,8.43,NA,NA,water,stormwater,24-hr pipe,125,5000
17-POC-130-125&355,Line 12J at mouth to 12K,Estuary,NA,37.755,-122.201,10.06,NA,NA,water,stormwater,24-hr pipe,125,5000
17GR-003-125&355,Guadalupe River at Highway 101,Estuary,NA,37.37356,-121.93283,2.31,NA,NA,water,stormwater,24-hr pipe,125,5000
20180108MMPStormSBSMMP125&355,San Mateo Creek,Estuary,NA,37.572638,-122.310769,1.09,NA,NA,water,stormwater,24-hr pipe,125,5000
20180108MMPStormCBMeek125&355,Meeker Slough at Regatta Blvd,Estuary,NA,37.917861,-122.33838,17.84,NA,NA,water,stormwater,24-hr pipe,125,5000
20180108MMPStormCBEmery125&355,MMP-Storm-CB-Emery,Estuary,NA,37.83429,-122.29349,12.36,NA,NA,water,stormwater,24-hr pipe,125,5000
19-POC-198-125&355,12M Rep1,Estuary,NA,37.746843,-122.200699,24.41,NA,NA,water,stormwater,24-hr pipe,125,5000
EBDA Aug 31 2017,NA,Estuary,NA,37.6952,-122.1858,0.0645,NA,NA,water,wastewater,24-hr pipe,125,5000
EBDA Sept 26 2017,NA,Estuary,NA,37.6952,-122.1858,0.0115,NA,NA,water,wastewater,24-hr pipe,125,5000
EBMUD Aug 22 2017,NA,Estuary,NA,37.8236,-122.2956,0.1778,NA,NA,water,wastewater,24-hr pipe,125,5000
EBMUD Sept 26 2017,NA,Estuary,NA,37.8236,-122.2956,0.0421,NA,NA,water,wastewater,24-hr pipe,125,5000
PA Aug 1 2017,NA,Estuary,NA,37.4527,-122.1108,0.003,NA,NA,water,wastewater,24-hr pipe,125,5000
PA July 20 2017 A,NA,Estuary,NA,37.4527,-122.1108,0.0054,NA,NA,water,wastewater,24-hr pipe,125,5000
SJ Aug 10 2017,NA,Estuary,NA,37.4332,-121.9522,0.0186,NA,NA,water,wastewater,24-hr pipe,125,5000
SJ Sept 19 2017,NA,Estuary,NA,37.4332,-121.9522,0.0233,NA,NA,water,wastewater,24-hr pipe,125,5000
SUNN Sept 19 2017,NA,Estuary,NA,37.4193,-122.0162,0.0222,NA,NA,water,wastewater,24-hr pipe,125,5000
CCCSD Sept 7 2017,NA,Estuary,NA,37.9961,-122.0686,0.0778,NA,NA,water,wastewater,24-hr pipe,125,5000
FSSD Aug 23 2017,NA,Estuary,NA,38.2233,-122.0829,0.0037,NA,NA,water,wastewater,24-hr pipe,125,5000
FSSD Sept 7 2017,NA,Estuary,NA,38.2233,-122.0829,0.0055,NA,NA,water,wastewater,24-hr pipe,125,5000
EBMUD Oct 20 2017,NA,Estuary,NA,37.8236,-122.2956,0.1083,NA,NA,water,wastewater,24-hr pipe,125,5000
SFPUC Nov 6 2017,NA,Estuary,NA,37.7476,-122.3728,0.1593,NA,NA,water,wastewater,24-hr pipe,125,5000
SFPUC Nov 7 2017,NA,Estuary,NA,37.7476,-122.3728,0.1816,NA,NA,water,wastewater,24-hr pipe,125,5000
SUNN Oct 17 2017,NA,Estuary,NA,37.4193,-122.0162,0.0075,NA,NA,water,wastewater,24-hr pipe,125,5000
CCCSD Dec 6 2017,NA,Estuary,NA,37.9961,-122.0686,0.0683,NA,NA,water,wastewater,24-hr pipe,125,5000
AN LSB06_1,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,24.27,NA,fish,anchovy,otter trawl/cast net,100,5000
AN LSB06_2,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,6.6,NA,fish,anchovy,otter trawl/cast net,100,5000
AN LSB06_4,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,0.87,NA,fish,anchovy,otter trawl/cast net,100,5000
TS LSB06_1,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,1,NA,fish,topsmelt,otter trawl/cast net,100,5000
TS LSB06_2,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,0.93,NA,fish,topsmelt,otter trawl/cast net,100,5000
TS LSB06_3,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,3.53,NA,fish,topsmelt,otter trawl/cast net,100,5000
TS LSB06_4,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,2.4,NA,fish,topsmelt,otter trawl/cast net,100,5000
AN LSB06_3,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,45.07,NA,fish,anchovy,otter trawl/cast net,100,5000
TS LSB06_5,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,8,NA,fish,topsmelt,otter trawl/cast net,100,5000
TS LSB06_6,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,11.67,NA,fish,topsmelt,otter trawl/cast net,100,5000
TS LSB06_7,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,5.73,NA,fish,topsmelt,otter trawl/cast net,100,5000
TS LSB06_8,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,5.87,NA,fish,topsmelt,otter trawl/cast net,100,5000
TS LSB06_9,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,14.47,NA,fish,topsmelt,otter trawl/cast net,100,5000
TS LSB06_10,NA,Estuary,Lower South Bay,37.4576,-122.0921,NA,1.8,NA,fish,topsmelt,otter trawl/cast net,100,5000
AN TB101_1,NA,Estuary,Tomales Bay,38.2093,-122.9292,NA,0,NA,fish,anchovy,otter trawl/cast net,100,5000
AN TB101_2,NA,Estuary,Tomales Bay,38.2093,-122.9292,NA,0,NA,fish,anchovy,otter trawl/cast net,100,5000
AN TB101_3,NA,Estuary,Tomales Bay,38.2093,-122.9292,NA,1.73,NA,fish,anchovy,otter trawl/cast net,100,5000
AN TB101_4,NA,Estuary,Tomales Bay,38.2093,-122.9292,NA,0.13,NA,fish,anchovy,otter trawl/cast net,100,5000
AN TB101_5,NA,Estuary,Tomales Bay,38.2093,-122.9292,NA,1.8,NA,fish,anchovy,otter trawl/cast net,100,5000
AN TB101_6,NA,Estuary,Tomales Bay,38.2093,-122.9292,NA,1,NA,fish,anchovy,otter trawl/cast net,100,5000
AN TB101_7,NA,Estuary,Tomales Bay,38.2093,-122.9292,NA,5.47,NA,fish,anchovy,otter trawl/cast net,100,5000
AN TB101_8,NA,Estuary,Tomales Bay,38.2093,-122.9292,NA,3.87,NA,fish,anchovy,otter trawl/cast net,100,5000
AN TB101_9,NA,Estuary,Tomales Bay,38.2093,-122.9292,NA,7.4,NA,fish,anchovy,otter trawl/cast net,100,5000
AN TB101_10,NA,Estuary,Tomales Bay,38.2093,-122.9292,NA,6,NA,fish,anchovy,otter trawl/cast net,100,5000
AN TB102_1,NA,Estuary,Tomales Bay,38.0908,-122.8358,NA,5.47,NA,fish,anchovy,otter trawl/cast net,100,5000
AN TB102_2,NA,Estuary,Tomales Bay,38.0908,-122.8358,NA,3.6,NA,fish,anchovy,otter trawl/cast net,100,5000
AN TB102_3,NA,Estuary,Tomales Bay,38.0908,-122.8358,NA,0,NA,fish,anchovy,otter trawl/cast net,100,5000
