"DOI","Authors","Publication Year","Species","Life Stage","Shape","Broad Endpoint Category","Specific Endpoint Category","Endpoint","Concentration (Particles/mL)","Effect Detected?"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Adult","Sphere","Fitness","Mortality","Mortality",316.0362441,"Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Adult","Sphere","Fitness","Mortality","Mortality",2523.742669,"Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Adult","Sphere","Fitness","Reproduction","Number of Offspring",316.0362441,"No"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Adult","Sphere","Fitness","Reproduction","Number of Offspring",2523.742669,"No"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",316.0362441,"Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",2523.742669,"No"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",316.0362441,"No"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","Sphere","Fitness","Reproduction","Number of Offspring",2523.742669,"No"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","Sphere","Fitness","Growth","Length",316.0362441,"Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","Sphere","Fitness","Growth","Length",2523.742669,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fragment","Fitness","Mortality","Mortality",10,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fragment","Fitness","Mortality","Mortality",100,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fragment","Fitness","Mortality","Mortality",1000,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fragment","Fitness","Mortality","Mortality",10000,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fragment","Fitness","Mortality","Mortality",1e+05,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fragment","Fitness","Growth","Body Mass",5000,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fragment","Fitness","Growth","Body Mass",10000,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fragment","Fitness","Growth","Body Mass",20000,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fragment","Fitness","Reproduction","Fecundity",5000,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fragment","Fitness","Reproduction","Fecundity",10000,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fragment","Fitness","Reproduction","Fecundity",20000,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fiber","Fitness","Growth","Body Mass",22.5,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fiber","Fitness","Growth","Body Mass",45,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fiber","Fitness","Growth","Body Mass",90,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fiber","Fitness","Mortality","Mortality",22.5,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fiber","Fitness","Mortality","Mortality",45,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","Fiber","Fitness","Mortality","Mortality",90,"Yes"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","Fragment","Fitness","Mortality","Mortality",19149.65893,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","Fragment","Fitness","Mortality","Mortality",16733.58047,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","Sphere","Fitness","Mortality","Mortality",1.39e+11,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","Sphere","Fitness","Mortality","Mortality",2.79e+11,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","Sphere","Fitness","Mortality","Mortality",6.97e+11,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","Sphere","Fitness","Mortality","Mortality",1.39e+12,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","Sphere","Fitness","Mortality","Mortality",2.79e+12,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","Sphere","Fitness","Mortality","Mortality",7493246311,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","Sphere","Fitness","Mortality","Mortality",14986492622,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","Sphere","Fitness","Mortality","Mortality",37466231554,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","Sphere","Fitness","Mortality","Mortality",74932463108,"No"
"10.1016/j.ecoenv.2015.09.021","Bergami",2016,"Artemia franciscana","Early","Sphere","Fitness","Mortality","Mortality",1.5e+11,"No"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","Sphere","Fitness","Mortality","Mortality",1144843600,"No"
