"DOI","Authors","Publication Year","Species","Life Stage","Size Category","Broad Endpoint Category","Specific Endpoint Category","Endpoint","Concentration (Particles/mL)","Concentration (µg/mL)","Effect Detected?"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Mortality",316.0362441,0.00139,"Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Mortality",2523.742669,0.0111,"Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Adult","1µm < 100µm","Fitness","Reproduction","Number of Offspring",316.0362441,0.00139,"No"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Adult","1µm < 100µm","Fitness","Reproduction","Number of Offspring",2523.742669,0.0111,"No"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",316.0362441,0.00139,"Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",2523.742669,0.0111,"No"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Reproduction","Number of Offspring",316.0362441,0.00139,"No"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Reproduction","Number of Offspring",2523.742669,0.0111,"No"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Growth","Length",316.0362441,0.00139,"Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Growth","Length",2523.742669,0.0111,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",10,0.005993938,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",100,0.059939378,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",1000,0.599393782,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",10000,5.993937824,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",1e+05,59.93937824,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Growth","Body Mass",5000,2.996968912,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Growth","Body Mass",10000,5.993937824,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Growth","Body Mass",20000,11.98787565,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Reproduction","Fecundity",5000,2.996968912,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Reproduction","Fecundity",10000,5.993937824,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Reproduction","Fecundity",20000,11.98787565,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Growth","Body Mass",22.5,0.293788,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Growth","Body Mass",45,0.587576001,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Growth","Body Mass",90,1.175152002,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",22.5,0.293788,"No"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",45,0.587576001,"Yes"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",90,1.175152002,"Yes"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Fitness","Mortality","Mortality",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Immune","Immune Cells","Phagocytosis",19149.65893,1500,"No"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Immune","Immune Cells","Granulocyte to Hyalinocyte Ratio",19149.65893,1500,"Yes"
"10.1016/j.envpol.2014.12.021","Avio",2015,"Mytilus galloprovincialis","Adult","100µm < 1mm","Metabolism","Oxidative Stress","Lysosomal Membrane Stability",19149.65893,1500,"No"
