"DOI","Authors","Publication Year","Species","Life Stage","Size Category","Broad Endpoint Category","Specific Endpoint Category","Endpoint","Concentration (Particles/mL)","Concentration (µg/mL)","Effect Metric"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Mortality",316.0362441,0.00139,"LOEC"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",316.0362441,0.00139,"LOEC"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Early","1µm < 100µm","Fitness","Growth","Length",316.0362441,0.00139,"LOEC"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",1000,0.599393782,"NOEC"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",10000,5.993937824,"LOEC"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Growth","Body Mass",5000,2.996968912,"NOEC"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Growth","Body Mass",10000,5.993937824,"LOEC"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Reproduction","Fecundity",5000,2.996968912,"LOEC"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",4600,27.57211399,"LC50"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Growth","Body Mass",22.5,0.293788,"NOEC"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Growth","Body Mass",45,0.587576001,"LOEC"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",22.5,0.293788,"NOEC"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",45,0.587576001,"LOEC"
"10.1002/etc.3093","Au",2015,"Hyalella azteca","Early","1µm < 100µm","Fitness","Mortality","Mortality",71,0.927064357,"LC50"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Mortality","Mortality",1.63e+11,32,"LOEC"
"10.1021/es503001d","Besseling",2014,"Daphnia magna","Early","1nm < 100nm","Fitness","Growth","Size",1.63e+11,32,"LOEC"
"10.1021/es503001d","Besseling",2014,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Fitness","Reproduction","Population Size",2.55e+12,490,"NOEC"
"10.1021/es503001d","Besseling",2014,"Scenedesmus obliquus","Not Reported","1nm < 100nm","Fitness","Reproduction","Population Size",5.72e+12,1100,"LOEC"
"10.1007/s11356-016-7584-2","Blarer & BurkhardtHom",2016,"Gammarus fossarum","Adult","100µm < 1mm","Metabolism","General Metabolism","Assimilation Efficiency",284,48.62557109,"LOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Immune","Immune Other ","mytc mRNA expression",50,742201.2644,"LOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Immune","Immune Other ","Lysozyme mRNA expression",50,742201.2644,"NOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Immune","Immune Other ","Lysozyme mRNA expression",500,7422012.644,"LOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Immune","Chemokines","mytilin ß mRNA expression",50,742201.2644,"LOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Metabolism","Oxidative Stress","gusb mRNA expression",50,742201.2644,"LOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Metabolism","Oxidative Stress","hex mRNA expression",50,742201.2644,"LOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Metabolism","Oxidative Stress","Cathepsin-L mRNA expression",50,742201.2644,"NOEC"
"10.1016/j.envpol.2018.06.035","Capolupo",2018,"Mytilus galloprovincialis","Early","1mm < 5mm","Metabolism","Oxidative Stress","Cathepsin-L mRNA expression",500,7422012.644,"LOEC"
