"Organism Group","Size Cateogry","Number of Observations"
"Algae","1nm < 100nm",47
"Algae","100nm < 1µm",22
"Algae","1µm < 100µm",89
"Algae","100µm < 1mm",251
"Algae","1mm < 5mm",16
"Annelida","1µm < 100µm",36
"Annelida","100µm < 1mm",120
"Bacterium","100nm < 1µm",9
"Bacterium","1µm < 100µm",18
"Bacterium","100µm < 1mm",39
"Cnidaria","1µm < 100µm",7
"Cnidaria","100µm < 1mm",66
"Crustacea","1nm < 100nm",213
"Crustacea","100nm < 1µm",249
"Crustacea","1µm < 100µm",823
"Crustacea","100µm < 1mm",66
"Crustacea","1mm < 5mm",10
"Echinoderm","100nm < 1µm",23
"Echinoderm","1µm < 100µm",76
"Fish","1nm < 100nm",171
"Fish","100nm < 1µm",104
"Fish","1µm < 100µm",1368
"Fish","100µm < 1mm",349
"Fish","1mm < 5mm",49
"Insect","1µm < 100µm",21
"Insect","100µm < 1mm",42
"Mollusca","1nm < 100nm",161
"Mollusca","100nm < 1µm",34
"Mollusca","1µm < 100µm",578
"Mollusca","100µm < 1mm",406
"Mollusca","1mm < 5mm",98
"Plant","1µm < 100µm",33
"Plant","100µm < 1mm",10
"Rotifera","1nm < 100nm",20
"Rotifera","100nm < 1µm",20
"Rotifera","1µm < 100µm",40
