"Endpoint Category","Size Cateogry","Number of Observations"
"Alimentary, Excretory","1nm < 100nm",3
"Alimentary, Excretory","100nm < 1µm",11
"Alimentary, Excretory","1µm < 100µm",128
"Alimentary, Excretory","100µm < 1mm",87
"Alimentary, Excretory","1mm < 5mm",10
"Behavioral, Neurological","1nm < 100nm",60
"Behavioral, Neurological","100nm < 1µm",43
"Behavioral, Neurological","1µm < 100µm",229
"Behavioral, Neurological","100µm < 1mm",97
"Behavioral, Neurological","1mm < 5mm",16
"Circulatory, Respiratory","1nm < 100nm",19
"Circulatory, Respiratory","100nm < 1µm",2
"Circulatory, Respiratory","1µm < 100µm",88
"Circulatory, Respiratory","100µm < 1mm",29
"Circulatory, Respiratory","1mm < 5mm",1
"Community","1nm < 100nm",12
"Community","1µm < 100µm",10
"Community","100µm < 1mm",22
"Fitness","1nm < 100nm",312
"Fitness","100nm < 1µm",209
"Fitness","1µm < 100µm",1555
"Fitness","100µm < 1mm",453
"Fitness","1mm < 5mm",123
"Immune","1nm < 100nm",2
"Immune","100nm < 1µm",32
"Immune","1µm < 100µm",159
"Immune","100µm < 1mm",98
"Immune","1mm < 5mm",6
"Metabolism","1nm < 100nm",207
"Metabolism","100nm < 1µm",118
"Metabolism","1µm < 100µm",818
"Metabolism","100µm < 1mm",583
"Metabolism","1mm < 5mm",17
"Microbiome","100nm < 1µm",12
"Microbiome","1µm < 100µm",59
"Microbiome","100µm < 1mm",2
"Stress","1nm < 100nm",9
"Stress","100nm < 1µm",34
"Stress","1µm < 100µm",53
