"","Type","effect","Freq","plot","category","effect.1","Endpoints","plot_f"
"1","Biopolymer","N",60,"Polymer","BIO","N",3,"Polymer"
"2","Polyethylene Vinyl Acetate","N",71,"Polymer","EVA","N",5,"Polymer"
"3","Latex","N",100,"Polymer","LTX","N",4,"Polymer"
"4","Polyamide","N",79,"Polymer","PA","N",54,"Polymer"
"5","Polycarbonate","N",71,"Polymer","PC","N",20,"Polymer"
"6","Polyethylene","N",76,"Polymer","PE","N",1355,"Polymer"
"7","Polyethylene Terephthalate","N",87,"Polymer","PET","N",151,"Polymer"
"8","Polyisoprene","N",100,"Polymer","PI","N",1,"Polymer"
"9","Polyactic Acid","N",81,"Polymer","PLA","N",51,"Polymer"
"10","Polymethylmethacrylate","N",71,"Polymer","PMMA","N",34,"Polymer"
"11","Polypropylene","N",66,"Polymer","PP","N",178,"Polymer"
"12","Polystyrene","N",66,"Polymer","PS","N",1869,"Polymer"
"13","Polyurathane","N",78,"Polymer","PUR","N",29,"Polymer"
"14","Polyvinylchloride","N",67,"Polymer","PVC","N",248,"Polymer"
"15","Biopolymer","Y",40,"Polymer","BIO","Y",2,"Polymer"
"16","Polyethylene Vinyl Acetate","Y",29,"Polymer","EVA","Y",2,"Polymer"
"17","Latex","Y",0,"Polymer","LTX","Y",0,"Polymer"
"18","Polyamide","Y",21,"Polymer","PA","Y",14,"Polymer"
"19","Polycarbonate","Y",29,"Polymer","PC","Y",8,"Polymer"
"20","Polyethylene","Y",24,"Polymer","PE","Y",432,"Polymer"
"21","Polyethylene Terephthalate","Y",13,"Polymer","PET","Y",23,"Polymer"
"22","Polyisoprene","Y",0,"Polymer","PI","Y",0,"Polymer"
"23","Polyactic Acid","Y",19,"Polymer","PLA","Y",12,"Polymer"
"24","Polymethylmethacrylate","Y",29,"Polymer","PMMA","Y",14,"Polymer"
"25","Polypropylene","Y",34,"Polymer","PP","Y",90,"Polymer"
"26","Polystyrene","Y",34,"Polymer","PS","Y",975,"Polymer"
"27","Polyurathane","Y",22,"Polymer","PUR","Y",8,"Polymer"
"28","Polyvinylchloride","Y",33,"Polymer","PVC","Y",124,"Polymer"
"29","<1µm","N",67,"Size","1","N",425,"Size"
"30","1µm < 10µm","N",59,"Size","2","N",238,"Size"
"31","10µm < 100µm","N",70,"Size","3","N",2240,"Size"
"32","100µm < 1mm","N",76,"Size","4","N",1114,"Size"
"33","1mm < 5mm","N",69,"Size","5","N",120,"Size"
"34","<1µm","Y",33,"Size","1","Y",209,"Size"
"35","1µm < 10µm","Y",41,"Size","2","Y",167,"Size"
"36","10µm < 100µm","Y",30,"Size","3","Y",941,"Size"
"37","100µm < 1mm","Y",24,"Size","4","Y",343,"Size"
"38","1mm < 5mm","Y",31,"Size","5","Y",53,"Size"
"39","Fiber","N",68,"Shape","fiber","N",106,"Shape"
"40","Fragment","N",79,"Shape","fragment","N",1864,"Shape"
"41","Sphere","N",64,"Shape","sphere","N",2049,"Shape"
"42","Fiber","Y",32,"Shape","fiber","Y",51,"Shape"
"43","Fragment","Y",21,"Shape","fragment","Y",510,"Shape"
"44","Sphere","Y",36,"Shape","sphere","Y",1128,"Shape"
"45","Algae","N",53,"Organism","Algae","N",227,"Organism"
"46","Annelida","N",79,"Organism","Annelida","N",183,"Organism"
"47","Bacterium","N",58,"Organism","Bacterium","N",38,"Organism"
"48","Cnidaria","N",69,"Organism","Cnidaria","N",50,"Organism"
"49","Crustacea","N",70,"Organism","Crustacea","N",950,"Organism"
"50","Echinoderm","N",73,"Organism","Echinoderm","N",69,"Organism"
"51","Fish","N",70,"Organism","Fish","N",1497,"Organism"
"52","Insect","N",48,"Organism","Insect","N",29,"Organism"
"53","Mixed","N",86,"Organism","Mixed","N",38,"Organism"
"54","Mollusca","N",79,"Organism","Mollusca","N",1015,"Organism"
"55","Nematoda","N",29,"Organism","Nematoda","N",28,"Organism"
"56","Plant","N",72,"Organism","Plant","N",31,"Organism"
"57","Rotifera","N",54,"Organism","Rotifera","N",43,"Organism"
"58","Algae","Y",47,"Organism","Algae","Y",198,"Organism"
"59","Annelida","Y",21,"Organism","Annelida","Y",50,"Organism"
"60","Bacterium","Y",42,"Organism","Bacterium","Y",28,"Organism"
"61","Cnidaria","Y",31,"Organism","Cnidaria","Y",22,"Organism"
"62","Crustacea","Y",30,"Organism","Crustacea","Y",408,"Organism"
"63","Echinoderm","Y",27,"Organism","Echinoderm","Y",26,"Organism"
"64","Fish","Y",30,"Organism","Fish","Y",628,"Organism"
"65","Insect","Y",52,"Organism","Insect","Y",31,"Organism"
"66","Mixed","Y",14,"Organism","Mixed","Y",6,"Organism"
"67","Mollusca","Y",21,"Organism","Mollusca","Y",262,"Organism"
"68","Nematoda","Y",71,"Organism","Nematoda","Y",69,"Organism"
"69","Plant","Y",28,"Organism","Plant","Y",12,"Organism"
"70","Rotifera","Y",46,"Organism","Rotifera","Y",37,"Organism"
"71","Alimentary, Excretory","N",65,"Lvl1","alimentary.excretory","N",182,"Lvl1"
"72","Behavioral, Sensory, Neurological","N",72,"Lvl1","behavioral.sense.neuro","N",355,"Lvl1"
"73","Circulatory, Respiratory","N",65,"Lvl1","circulatory.respiratory","N",95,"Lvl1"
"74","Community","N",86,"Lvl1","community","N",38,"Lvl1"
"75","Fitness","N",74,"Lvl1","fitness","N",2029,"Lvl1"
"76","Immune","N",68,"Lvl1","immune","N",206,"Lvl1"
"77","Metabolism","N",66,"Lvl1","metabolism","N",1184,"Lvl1"
"78","Microbiome","N",63,"Lvl1","microbiome","N",46,"Lvl1"
"79","Stress","N",62,"Lvl1","stress","N",63,"Lvl1"
"80","Alimentary, Excretory","Y",35,"Lvl1","alimentary.excretory","Y",97,"Lvl1"
"81","Behavioral, Sensory, Neurological","Y",28,"Lvl1","behavioral.sense.neuro","Y",135,"Lvl1"
"82","Circulatory, Respiratory","Y",35,"Lvl1","circulatory.respiratory","Y",52,"Lvl1"
"83","Community","Y",14,"Lvl1","community","Y",6,"Lvl1"
"84","Fitness","Y",26,"Lvl1","fitness","Y",701,"Lvl1"
"85","Immune","Y",32,"Lvl1","immune","Y",97,"Lvl1"
"86","Metabolism","Y",34,"Lvl1","metabolism","Y",623,"Lvl1"
"87","Microbiome","Y",37,"Lvl1","microbiome","Y",27,"Lvl1"
"88","Stress","Y",38,"Lvl1","stress","Y",39,"Lvl1"
"89","Adult","N",70,"Life.stage","Adult","N",1791,"Life.stage"
"90","Early","N",70,"Life.stage","Early","N",1223,"Life.stage"
"91","Juvenile","N",77,"Life.stage","Juvenile","N",850,"Life.stage"
"92","Adult","Y",30,"Life.stage","Adult","Y",750,"Life.stage"
"93","Early","Y",30,"Life.stage","Early","Y",529,"Life.stage"
