"","Group","Species","Most Sensitive Concentration Particles/mL","Most Sensitive Effect","Most Sensitive Environment","DOI","Average Effect Concentration","Median Effect Concentration","Std Dev Effect Concentration","Maximum Observed Effect Concentration","Number of doses with Effects","Min Concentration Tested (with or without effects)","Max Concentration Tested (with or without effects)","Total # Doses Considered"
"1","Cnidaria","Acropora muricata","0.0203","fitness","Marine","10.1016/j.envpol.2019.113074","0.0203","0.0203","0","0.0203","2","0.0203","0.0203","6"
"2","Crustacea","Calanus helgolandicus","75","fitness","Marine","10.1021/es504525u","75","75","","75","1","75","75","2"
"3","Mollusca","Crepidula onyx","60000","fitness","Marine","10.1016/j.envpol.2017.10.095","100000","100000","56600","140000","2","10","140000","9"
"4","Algae","Dunaliella salina","30","fitness","Marine","10.1016/j.aquatox.2019.105296","50","50","13.1","70","8","10","70","28"
"5","Cnidaria","Heliopora coerulea","0.0203","fitness","Marine","10.1016/j.envpol.2019.113074","0.0203","0.0203","","0.0203","1","0.0203","0.0203","6"
"6","Cnidaria","Lophelia pertusa","0.35","fitness","Marine","10.1038/s41598-018-33683-6","0.35","0.35","","0.35","1","0.35","0.35","1"
"7","Mollusca","Mytilus NA","2000","fitness","Marine","10.1016/j.envpol.2016.06.039","2000","2000","","2000","1","2000","2000","2"
"8","Crustacea","Palaemonetes pugio","50","fitness","Marine","10.1002/etc.3881","50","50","0","50","7","50","50","11"
"9","Annelida","Perinereis aibuhitensis","100","fitness","Marine","10.1016/j.marpolbul.2017.10.072","550","550","493","1000","6","100","1000","8"
"10","Mollusca","Perna viridis","1200000","fitness","Marine","10.1016/j.marpolbul.2016.07.006","1200000","1200000","","1200000","1","1200000","1200000","1"
