,�..Sampling.apparatus,Device.Opening.Dimension..cm.,Min.particle.size.um,Max.particle.size.um,Sampling.location,System,Single.Measurement.conc....m3.,Minimum.conc....m3.,Mean.conc....m3.,Median.conc....m3.,Maximum.conc....m3.,Standard.deviation.conc....m3.,Probability.distribution,Reference,x1M,x2M,CF,particles.m3.corrected,particles.m3.corrected_mean,particles.m3.corrected_median,particles.single.median.m3,particles.m3.master,particle.L.master,Sample.Type
1,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.292,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,11.78722869,NA,NA,11.78722869,11.78722869,0.011787229,sample
2,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.371,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,14.9762392,NA,NA,14.9762392,14.9762392,0.014976239,sample
3,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.384,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,15.50101308,NA,NA,15.50101308,15.50101308,0.015501013,sample
4,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.531,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,21.43499465,NA,NA,21.43499465,21.43499465,0.021434995,sample
5,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.545,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,22.00013575,NA,NA,22.00013575,22.00013575,0.022000136,sample
6,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.547,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,22.08087019,NA,NA,22.08087019,22.08087019,0.02208087,sample
7,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.6,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,24.22033293,NA,NA,24.22033293,24.22033293,0.024220333,sample
8,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.676,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,27.28824177,NA,NA,27.28824177,27.28824177,0.027288242,sample
9,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.775,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,31.28459671,NA,NA,31.28459671,31.28459671,0.031284597,sample
10,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.782,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,31.56716726,NA,NA,31.56716726,31.56716726,0.031567167,sample
11,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.825,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,33.30295779,NA,NA,33.30295779,33.30295779,0.033302958,sample
12,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.877,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,35.40205331,NA,NA,35.40205331,35.40205331,0.035402053,sample
13,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.899,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,36.29013218,NA,NA,36.29013218,36.29013218,0.036290132,sample
14,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.942,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,38.02592271,NA,NA,38.02592271,38.02592271,0.038025923,sample
15,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.942,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,38.02592271,NA,NA,38.02592271,38.02592271,0.038025923,sample
16,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.954,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,38.51032937,NA,NA,38.51032937,38.51032937,0.038510329,sample
17,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,0.969,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,39.11583769,NA,NA,39.11583769,39.11583769,0.039115838,sample
18,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.03,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,41.5782382,NA,NA,41.5782382,41.5782382,0.041578238,sample
19,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.03,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,41.5782382,NA,NA,41.5782382,41.5782382,0.041578238,sample
20,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.04,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,41.98191042,NA,NA,41.98191042,41.98191042,0.04198191,sample
21,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.05,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,42.38558264,NA,NA,42.38558264,42.38558264,0.042385583,sample
22,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.06,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,42.78925485,NA,NA,42.78925485,42.78925485,0.042789255,sample
23,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.07,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,43.19292707,NA,NA,43.19292707,43.19292707,0.043192927,sample
24,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.2,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,48.44066587,NA,NA,48.44066587,48.44066587,0.048440666,sample
25,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.21,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,48.84433809,NA,NA,48.84433809,48.84433809,0.048844338,sample
26,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.23,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,49.65168252,NA,NA,49.65168252,49.65168252,0.049651683,sample
27,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.25,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,50.45902695,NA,NA,50.45902695,50.45902695,0.050459027,sample
28,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.28,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,51.67004359,NA,NA,51.67004359,51.67004359,0.051670044,sample
29,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.38,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,55.70676575,NA,NA,55.70676575,55.70676575,0.055706766,sample
30,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.46,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,58.93614347,NA,NA,58.93614347,58.93614347,0.058936143,sample
31,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.48,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,59.74348791,NA,NA,59.74348791,59.74348791,0.059743488,sample
32,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.55,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,62.56919342,NA,NA,62.56919342,62.56919342,0.062569193,sample
33,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.57,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,63.37653785,NA,NA,63.37653785,63.37653785,0.063376538,sample
34,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.63,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,65.79857114,NA,NA,65.79857114,65.79857114,0.065798571,sample
35,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,4.16,NA,NA,NA,NA,NA,NA,Anderson et al. (2017),333,5000,40.36722156,167.9276417,NA,NA,167.9276417,167.9276417,0.167927642,sample
36,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Ottawa River basin, Canada",River,NA,NA,NA,50,NA,NA,NA,Vermaire et al. (2017),333,5000,40.36722156,NA,NA,2018.361078,2018.361078,2018.361078,2.018361078,sample
37,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Ottawa River basin, Canada",River,NA,NA,NA,110,NA,NA,NA,Vermaire et al. (2017),333,5000,40.36722156,NA,NA,4440.394371,4440.394371,4440.394371,4.440394371,sample
38,"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Ottawa River basin, Canada",River,NA,NA,NA,90,NA,NA,NA,Vermaire et al. (2017),333,5000,40.36722156,NA,NA,3633.04994,3633.04994,3633.04994,3.63304994,sample
39,"Bottles: 0.5 m depth, 100 L filtered at 100 μm.",NA,100,5000,"Ottawa River basin, Canada",River,NA,NA,NA,90,NA,NA,NA,Vermaire et al. (2017),100,5000,17.41918476,NA,NA,1567.726629,1567.726629,1567.726629,1.567726629,sample
40,"Bottles: 0.5 m depth, 100 L filtered at 100 μm.",NA,100,5000,"Ottawa River basin, Canada",River,NA,NA,NA,110,NA,NA,NA,Vermaire et al. (2017),100,5000,17.41918476,NA,NA,1916.110324,1916.110324,1916.110324,1.916110324,sample
41,"Bottles: 0.5 m depth, 100 L filtered at 100 μm.",NA,100,5000,"Ottawa River basin, Canada",River,NA,NA,NA,70,NA,NA,NA,Vermaire et al. (2017),100,5000,17.41918476,NA,NA,1219.342933,1219.342933,1219.342933,1.219342933,sample
42,Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,NA,50,5000,"Bei Lake, China",Lake,NA,7800,8930,NA,10100,NA,Triangular: min-mean-max,Wang et al. (2017),50,5000,11.09323564,NA,99062.59428,NA,NA,99062.59428,99.06259428,sample
43,Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,NA,50,5000,"Beitaizi Lake, China",Lake,NA,3400,3830,NA,4250,NA,Triangular: min-mean-max,Wang et al. (2017),50,5000,11.09323564,NA,42487.09251,NA,NA,42487.09251,42.48709251,sample
44,Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,NA,50,5000,"Dong Lake, China",Lake,NA,3360,5910,NA,7640,NA,Triangular: min-mean-max,Wang et al. (2017),50,5000,11.09323564,NA,65561.02264,NA,NA,65561.02264,65.56102264,sample
