Conc,Sample.Type
1.46E+14,tox
2.91E+14,tox
1.46E+14,tox
2.91E+14,tox
14600000000,tox
2.91E+11,tox
1000000,tox
9E+13,tox
60000000,tox
140000000,tox
2000000,tox
1937000,tox
1937000,tox
100000,tox
1000000,tox
100000,tox
1000000,tox
578.7,tox
5501.3,tox
50098.7,tox
5501.3,tox
5501.3,tox
1000000,tox
1000000,tox
1000000,tox
1000000,tox
1000000,tox
1000000,tox
75000,tox
1200000000,tox
300000,tox
50000,tox
100000,tox
1000000,tox
50000,tox
50000,tox
50000,tox
50000,tox
50000,tox
50000,tox
20.3,tox
20.3,tox
20.3,tox
20.3,tox
40000,tox
50000,tox
60000,tox
70000,tox
30000,tox
40000,tox
50000,tox
60000,tox
350,tox
500000,tox
500000,tox
500000,tox
