General Information,,,Data Category #1: Test Organism,,,,,,Data Category #2: Experimental Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #3: Biological Effects,,,,,,,,Category #4: Particle Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #5: Quality Criteria,,,,,,,,,,,,,,,Screening Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI,Authors,Year,Species,Organism Group,Environment,Life Stage,In vitro In vivo,Sex,Experiment Type,Exposure Route,Particle Mix?,Negative Control,Reference Particle,Exposure Media,Solvent,Detergent,Media Salinity (ppt),Media pH,Media Temp (Mean),Media Temp Min,Media Temp Max,Exposure Duration (Days),Treatments,Replicates,Dosing Frequency,Sample Size,Nominal Dose - Mass,Nominal Dose - Mass Units,Nominal Dose - Particles,Nominal Dose - Particles Units,Nominal Dose Alternative Category,Nominal Dose - Alternative Type,Nominal Dose - Alternative Type Units,Nominal Chemicals Added,Nominal Added Chemical Dose,Nominal Added Chemical Dose Units,Measured Dose - Mass,Measured Dose - Mass Units,Measured Dose - Particles,Measured Dose - Particles Units,Measured Dose Alternative Category,Measured Dose Alternative,Measured Dose Alternative Units,Measured Chemicals Added,Measured Chemical Dose,Measured Chemical Dose Units,Effect,Effect Metric,Direction,Broad Endpoint Category,Specific Endpoint Category,Endpoint,Level of Biological Organization,Target Cell or Tissue,Polymer,Density (g/cm^3),Density (Reported/Estimated),Shape,Charge,Zeta Potential (mV),Zeta Potential Media,Functional Group,Size Length mm Nominal,Size Length mm Nominal (minimum),Size Length mm Nominal (maximum),Size Length mm Measured,Size Length mm Measured (minimum),Size Length mm Measured (Maximum),Size Width mm Nominal,Size Width mm Nominal (minimum),Size Width mm Nominal (maximum),Size Width mm Measured,Size Width mm Measured (minimum),Size Width mm Measured (maximum),Size Height mm Nominal,Size Height mm Nominal (minimum),Size Height mm Nominal (maximum),Size Height mm Measured,Size Height mm Measured (minimum),Size Height mm Measured (maximum),Weathered or Biofouled?,Size Validated?,Shape Validated?,Polymer Validated?,Particle Source,Sodium Azide Present?,Screened for Chemical Contamination?,Particle Cleaning?,Solvent Rinse,Background Contamination Monitored?,Concentration Validated?,Particle Behavior,Uptake Validated?,Uptake Validation Method,Tissue Distribution,Organisms Fed?,Tech A1,Tech A2,Tech A3,Tech A4,Tech A5,Tech A6,Tech 1,Tech 2,Tech 3,Tech 4,Tech 5,Tech 6,Tech 7,Tech 8,Tech 9,Tech 10,Tech 11,Tech 12,Risk B1,Risk 13,Risk 14,Risk 15,Risk 16,Risk 17,Risk 18,Risk 19,Risk 20,Tech Total,Risk Total,Overall Total
10.1016/j.scitotenv.2021.146885,Ye,2021,Oryzias melastigma,Fish,Marine,Adult,In Vivo,NA,Particle Only,water,No,Yes,No,artificial seawater,NA,NA,30,8.0–8.4,NA,NA,NA,60,1,1,1,6,10,mg/L,1.82E+10,particles/m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,decrease,Metabolism,Carb Metabolism,Maltotriose,Subcell,liver,Polystyrene,1.07,NA,Not Reported,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,aeration,Yes,nitric acid digestion microscopy,liver,Yes,Pass,Pass,Pass,Pass,Pass,Pass,1,0,1,2,2,0,1,0,1,1,2,2,Fail,1,2,0,0,1,0,1,1,13,6,19
10.1016/j.scitotenv.2021.146885,Ye,2021,Oryzias melastigma,Fish,Marine,Adult,In Vivo,NA,Particle Only,water,No,Yes,No,artificial seawater,NA,NA,30,8.0–8.4,NA,NA,NA,60,1,1,1,6,10,mg/L,2.27E+06,particles/m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,increase,Metabolism,Carb Metabolism,Maltotriose,Subcell,liver,Polystyrene,1.07,NA,Not Reported,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,aeration,Yes,nitric acid digestion microscopy,liver,Yes,Pass,Pass,Pass,Pass,Pass,Pass,1,0,1,2,2,0,1,0,1,1,2,2,Fail,1,2,0,0,1,0,1,1,13,6,19
10.1016/j.scitotenv.2021.146885,Ye,2021,Oryzias melastigma,Fish,Marine,Adult,In Vivo,NA,Particle Only,water,No,Yes,No,artificial seawater,NA,NA,30,8.0–8.4,NA,NA,NA,60,1,1,1,6,10,mg/L,1.82E+10,particles/m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,increase,Metabolism,Carb Metabolism,Maltose,Subcell,liver,Polystyrene,1.07,NA,Not Reported,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,aeration,Yes,nitric acid digestion microscopy,liver,Yes,Pass,Pass,Pass,Pass,Pass,Pass,1,0,1,2,2,0,1,0,1,1,2,2,Fail,1,2,0,0,1,0,1,1,13,6,19
10.1016/j.scitotenv.2021.146885,Ye,2021,Oryzias melastigma,Fish,Marine,Adult,In Vivo,NA,Particle Only,water,No,Yes,No,artificial seawater,NA,NA,30,8.0–8.4,NA,NA,NA,60,1,1,1,6,10,mg/L,2.27E+06,particles/m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,increase,Metabolism,Carb Metabolism,Maltose,Subcell,liver,Polystyrene,1.07,NA,Not Reported,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,aeration,Yes,nitric acid digestion microscopy,liver,Yes,Pass,Pass,Pass,Pass,Pass,Pass,1,0,1,2,2,0,1,0,1,1,2,2,Fail,1,2,0,0,1,0,1,1,13,6,19
10.1016/j.scitotenv.2021.146885,Ye,2021,Oryzias melastigma,Fish,Marine,Adult,In Vivo,NA,Particle Only,water,No,Yes,No,artificial seawater,NA,NA,30,8.0–8.4,NA,NA,NA,60,1,1,1,6,10,mg/L,1.82E+10,particles/m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,increase,Metabolism,Carb Metabolism,Lactose,Subcell,liver,Polystyrene,1.07,NA,Not Reported,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,aeration,Yes,nitric acid digestion microscopy,liver,Yes,Pass,Pass,Pass,Pass,Pass,Pass,1,0,1,2,2,0,1,0,1,1,2,2,Fail,1,2,0,0,1,0,1,1,13,6,19
10.1016/j.scitotenv.2021.146885,Ye,2021,Oryzias melastigma,Fish,Marine,Adult,In Vivo,NA,Particle Only,water,No,Yes,No,artificial seawater,NA,NA,30,8.0–8.4,NA,NA,NA,60,1,1,1,6,10,mg/L,2.27E+06,particles/m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,increase,Metabolism,Carb Metabolism,Lactose,Subcell,liver,Polystyrene,1.07,NA,Not Reported,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,aeration,Yes,nitric acid digestion microscopy,liver,Yes,Pass,Pass,Pass,Pass,Pass,Pass,1,0,1,2,2,0,1,0,1,1,2,2,Fail,1,2,0,0,1,0,1,1,13,6,19
10.1016/j.scitotenv.2021.146885,Ye,2021,Oryzias melastigma,Fish,Marine,Adult,In Vivo,NA,Particle Only,water,No,Yes,No,artificial seawater,NA,NA,30,8.0–8.4,NA,NA,NA,60,1,1,1,6,10,mg/L,1.82E+10,particles/m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,decrease,Metabolism,Carb Metabolism,Mannobiose,Subcell,liver,Polystyrene,1.07,NA,Not Reported,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,aeration,Yes,nitric acid digestion microscopy,liver,Yes,Pass,Pass,Pass,Pass,Pass,Pass,1,0,1,2,2,0,1,0,1,1,2,2,Fail,1,2,0,0,1,0,1,1,13,6,19
10.1016/j.scitotenv.2021.146885,Ye,2021,Oryzias melastigma,Fish,Marine,Adult,In Vivo,NA,Particle Only,water,No,Yes,No,artificial seawater,NA,NA,30,8.0–8.4,NA,NA,NA,60,1,1,1,6,10,mg/L,2.27E+06,particles/m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,increase,Metabolism,Carb Metabolism,Mannobiose,Subcell,liver,Polystyrene,1.07,NA,Not Reported,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,aeration,Yes,nitric acid digestion microscopy,liver,Yes,Pass,Pass,Pass,Pass,Pass,Pass,1,0,1,2,2,0,1,0,1,1,2,2,Fail,1,2,0,0,1,0,1,1,13,6,19
10.1016/j.scitotenv.2021.146885,Ye,2021,Oryzias melastigma,Fish,Marine,Adult,In Vivo,NA,Particle Only,water,No,Yes,No,artificial seawater,NA,NA,30,8.0–8.4,NA,NA,NA,60,1,1,1,6,10,mg/L,1.82E+10,particles/m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,decrease,Metabolism,Carb Metabolism,Turanose,Subcell,liver,Polystyrene,1.07,NA,Not Reported,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,aeration,Yes,nitric acid digestion microscopy,liver,Yes,Pass,Pass,Pass,Pass,Pass,Pass,1,0,1,2,2,0,1,0,1,1,2,2,Fail,1,2,0,0,1,0,1,1,13,6,19
10.1016/j.scitotenv.2021.146885,Ye,2021,Oryzias melastigma,Fish,Marine,Adult,In Vivo,NA,Particle Only,water,No,Yes,No,artificial seawater,NA,NA,30,8.0–8.4,NA,NA,NA,60,1,1,1,6,10,mg/L,2.27E+06,particles/m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,increase,Metabolism,Carb Metabolism,Turanose,Subcell,liver,Polystyrene,1.07,NA,Not Reported,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,aeration,Yes,nitric acid digestion microscopy,liver,Yes,Pass,Pass,Pass,Pass,Pass,Pass,1,0,1,2,2,0,1,0,1,1,2,2,Fail,1,2,0,0,1,0,1,1,13,6,19
