General Information,,,Data Category #1: Test Organism,,,,,,Data Category #2: Experimental Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #3: Biological Effects,,,,,,,,Category #4: Particle Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #5: Quality Criteria,,,,,,,,,,,,,,,Screening Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI,Authors,Year,Species,Organism Group,Environment,Life Stage,In vitro In vivo,Sex,Experiment Type,Exposure Route,Particle Mix?,Negative Control,Reference Particle,Exposure Media,Solvent,Detergent,Media Salinity (ppt),Media pH,Media Temp (Mean),Media Temp Min,Media Temp Max,Exposure Duration (Days),Treatments,Replicates,Dosing Frequency,Sample Size,Nominal Dose - Mass,Nominal Dose - Mass Units,Nominal Dose - Particles,Nominal Dose - Particles Units,Nominal Dose Alternative Category,Nominal Dose - Alternative Type,Nominal Dose - Alternative Type Units,Nominal Chemicals Added,Nominal Added Chemical Dose,Nominal Added Chemical Dose Units,Measured Dose - Mass,Measured Dose - Mass Units,Measured Dose - Particles,Measured Dose - Particles Units,Measured Dose Alternative Category,Measured Dose Alternative,Measured Dose Alternative Units,Measured Chemicals Added,Measured Chemical Dose,Measured Chemical Dose Units,Effect,Effect Metric,Direction,Broad Endpoint Category,Specific Endpoint Category,Endpoint,Level of Biological Organization,Target Cell or Tissue,Polymer,Density (g/cm^3),Density (Reported/Estimated),Shape,Charge,Zeta Potential (mV),Zeta Potential Media,Functional Group,Size Length mm Nominal,Size Length mm Nominal (minimum),Size Length mm Nominal (maximum),Size Length mm Measured,Size Length mm Measured (minimum),Size Length mm Measured (Maximum),Size Width mm Nominal,Size Width mm Nominal (minimum),Size Width mm Nominal (maximum),Size Width mm Measured,Size Width mm Measured (minimum),Size Width mm Measured (maximum),Size Height mm Nominal,Size Height mm Nominal (minimum),Size Height mm Nominal (maximum),Size Height mm Measured,Size Height mm Measured (minimum),Size Height mm Measured (maximum),Weathered or Biofouled?,Size Validated?,Shape Validated?,Polymer Validated?,Particle Source,Sodium Azide Present?,Screened for Chemical Contamination?,Particle Cleaning?,Solvent Rinse,Background Contamination Monitored?,Concentration Validated?,Particle Behavior,Uptake Validated?,Uptake Validation Method,Tissue Distribution,Organisms Fed?,Tech A1,Tech A2,Tech A3,Tech A4,Tech A5,Tech A6,Tech 1,Tech 2,Tech 3,Tech 4,Tech 5,Tech 6,Tech 7,Tech 8,Tech 9,Tech 10,Tech 11,Tech 12,Risk B1,Risk 13,Risk 14,Risk 15,Risk 16,Risk 17,Risk 18,Risk 19,Risk 20,Tech Total,Risk Total,Overall Total
https://doi.org/10.3390/app11198924,Capolupo,2021,Mytilus galloprovincialis,Mollusca,Marine,Early,In Vitro,NA,Chemical Transfer,water,No,Yes,No,artificial seawater,NA,NA,NA,NA,16,15,17,0.0625,1,5,0,NA,NA,NA,25000,particles/L,NA,NA,NA,Chrysene,0.5,mg/L,0.35,mg/L,23670,particles/L,NA,NA,NA,Chrysene,NA,NA,No,NA,NA,Fitness,Reproduction,Fertilization Rate,Organism,whole.body,Polystyrene,1.05,reported,Sphere,NA,NA,NA,NA,0.003,0.00285,0.00315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,visual observation no aggregates,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.3390/app11198924,Capolupo,2021,Mytilus galloprovincialis,Mollusca,Marine,Early,In Vivo,NA,Chemical Transfer,water,No,Yes,No,artificial seawater,NA,NA,NA,NA,16,15,17,2,1,5,0,NA,NA,NA,25000,particles/L,NA,NA,NA,Chrysene,0.5,mg/L,0.35,mg/L,23670,particles/L,NA,NA,NA,Chrysene,NA,NA,No,NA,NA,Fitness,Development,Abnormality Occurrence,Organism,whole.body,Polystyrene,1.05,reported,Sphere,NA,NA,NA,NA,0.003,0.00285,0.00315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,visual observation no aggregates,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.3390/app11198924,Capolupo,2021,Mytilus galloprovincialis,Mollusca,Marine,Adult,In Vivo,NA,Chemical Transfer,water,No,Yes,No,artificial seawater,NA,NA,NA,NA,16,15,17,7,1,3,1,10,NA,NA,5000,particles/L,NA,NA,NA,Chrysene,0.5,mg/L,67.7,ng/L,4570,particles/L,NA,NA,NA,Chrysene,NA,NA,Yes,NA,decrease,Metabolism,Lysosome,Lysosomal Membrane Stability,Subcell,haemocytes,Polystyrene,1.05,reported,Sphere,NA,NA,NA,NA,0.003,0.00285,0.00315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,visual observation no aggregates,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.3390/app11198924,Capolupo,2021,Mytilus galloprovincialis,Mollusca,Marine,Adult,In Vivo,NA,Chemical Transfer,water,No,Yes,No,artificial seawater,NA,NA,NA,NA,16,15,17,7,1,3,1,10,NA,NA,5000,particles/L,NA,NA,NA,Chrysene,0.5,mg/L,67.7,ng/L,4570,particles/L,NA,NA,NA,Chrysene,NA,NA,Yes,NA,increase,Metabolism,Oxidative Stress,Lipofuscin Accumulation,Subcell,digestive.gland,Polystyrene,1.05,reported,Sphere,NA,NA,NA,NA,0.003,0.00285,0.00315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,visual observation no aggregates,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.3390/app11198924,Capolupo,2021,Mytilus galloprovincialis,Mollusca,Marine,Adult,In Vivo,NA,Chemical Transfer,water,No,Yes,No,artificial seawater,NA,NA,NA,NA,16,15,17,7,1,3,1,10,NA,NA,5000,particles/L,NA,NA,NA,Chrysene,0.5,mg/L,67.7,ng/L,4570,particles/L,NA,NA,NA,Chrysene,NA,NA,Yes,NA,increase,Metabolism,Lipid Metabolism,Lipid Content,Subcell,digestive.gland,Polystyrene,1.05,reported,Sphere,NA,NA,NA,NA,0.003,0.00285,0.00315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,visual observation no aggregates,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.3390/app11198924,Capolupo,2021,Mytilus galloprovincialis,Mollusca,Marine,Adult,In Vivo,NA,Chemical Transfer,water,No,Yes,No,artificial seawater,NA,NA,NA,NA,16,15,17,7,1,3,1,10,NA,NA,5000,particles/L,NA,NA,NA,Chrysene,0.5,mg/L,67.7,ng/L,4570,particles/L,NA,NA,NA,Chrysene,NA,NA,No,NA,NA,Metabolism,Detoxification,Glutathione S-Transferase Activity,Subcell,gills,Polystyrene,1.05,reported,Sphere,NA,NA,NA,NA,0.003,0.00285,0.00315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,visual observation no aggregates,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.3390/app11198924,Capolupo,2021,Mytilus galloprovincialis,Mollusca,Marine,Adult,In Vivo,NA,Chemical Transfer,water,No,Yes,No,artificial seawater,NA,NA,NA,NA,16,15,17,7,1,3,1,10,NA,NA,5000,particles/L,NA,NA,NA,Chrysene,0.5,mg/L,67.7,ng/L,4570,particles/L,NA,NA,NA,Chrysene,NA,NA,No,NA,NA,Metabolism,Detoxification,Glutathione S-Transferase Activity,Subcell,digestive.gland,Polystyrene,1.05,reported,Sphere,NA,NA,NA,NA,0.003,0.00285,0.00315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,visual observation no aggregates,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.3390/app11198924,Capolupo,2021,Mytilus galloprovincialis,Mollusca,Marine,Adult,In Vivo,NA,Chemical Transfer,water,No,Yes,No,artificial seawater,NA,NA,NA,NA,16,15,17,7,1,3,1,10,NA,NA,5000,particles/L,NA,NA,NA,Chrysene,0.5,mg/L,67.7,ng/L,4570,particles/L,NA,NA,NA,Chrysene,NA,NA,No,NA,NA,Metabolism,Oxidative Stress,Catalase Activity,Subcell,gills,Polystyrene,1.05,reported,Sphere,NA,NA,NA,NA,0.003,0.00285,0.00315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,visual observation no aggregates,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.3390/app11198924,Capolupo,2021,Mytilus galloprovincialis,Mollusca,Marine,Adult,In Vivo,NA,Chemical Transfer,water,No,Yes,No,artificial seawater,NA,NA,NA,NA,16,15,17,7,1,3,1,10,NA,NA,5000,particles/L,NA,NA,NA,Chrysene,0.5,mg/L,67.7,ng/L,4570,particles/L,NA,NA,NA,Chrysene,NA,NA,No,NA,NA,Metabolism,Oxidative Stress,Catalase Activity,Subcell,digestive.gland,Polystyrene,1.05,reported,Sphere,NA,NA,NA,NA,0.003,0.00285,0.00315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,visual observation no aggregates,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.3390/app11198924,Capolupo,2021,Mytilus galloprovincialis,Mollusca,Marine,Adult,In Vivo,NA,Chemical Transfer,water,No,Yes,No,artificial seawater,NA,NA,NA,NA,16,15,17,7,1,3,1,10,NA,NA,5000,particles/L,NA,NA,NA,Chrysene,0.5,mg/L,67.7,ng/L,4570,particles/L,NA,NA,NA,Chrysene,NA,NA,No,NA,NA,"Behavioral, Sensory, Neurological",Nervous System,AcHE Activity,Subcell,gills,Polystyrene,1.05,reported,Sphere,NA,NA,NA,NA,0.003,0.00285,0.00315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,commercial,No,No,Not Cleaned,No,No,Yes,visual observation no aggregates,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
