General Information,,,Data Category #1: Test Organism,,,,,,Data Category #2: Experimental Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #3: Biological Effects,,,,,,,,Category #4: Particle Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #5: Quality Criteria,,,,,,,,,,,,,,,Screening Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI,Authors,Year,Species,Organism Group,Environment,Life Stage,In vitro In vivo,Sex,Experiment Type,Exposure Route,Particle Mix?,Negative Control,Reference Particle,Exposure Media,Solvent,Detergent,Media Salinity (ppt),Media pH,Media Temp (Mean),Media Temp Min,Media Temp Max,Exposure Duration (Days),Treatments,Replicates,Dosing Frequency,Sample Size,Nominal Dose - Mass,Nominal Dose - Mass Units,Nominal Dose - Particles,Nominal Dose - Particles Units,Nominal Dose Alternative Category,Nominal Dose - Alternative Type,Nominal Dose - Alternative Type Units,Nominal Chemicals Added,Nominal Added Chemical Dose,Nominal Added Chemical Dose Units,Measured Dose - Mass,Measured Dose - Mass Units,Measured Dose - Particles,Measured Dose - Particles Units,Measured Dose Alternative Category,Measured Dose Alternative,Measured Dose Alternative Units,Measured Chemicals Added,Measured Chemical Dose,Measured Chemical Dose Units,Effect,Effect Metric,Direction,Broad Endpoint Category,Specific Endpoint Category,Endpoint,Level of Biological Organization,Target Cell or Tissue,Polymer,Density (g/cm^3),Density (Reported/Estimated),Shape,Charge,Zeta Potential (mV),Zeta Potential Media,Functional Group,Size Length mm Nominal,Size Length mm Nominal (minimum),Size Length mm Nominal (maximum),Size Length mm Measured,Size Length mm Measured (minimum),Size Length mm Measured (Maximum),Size Width mm Nominal,Size Width mm Nominal (minimum),Size Width mm Nominal (maximum),Size Width mm Measured,Size Width mm Measured (minimum),Size Width mm Measured (maximum),Size Height mm Nominal,Size Height mm Nominal (minimum),Size Height mm Nominal (maximum),Size Height mm Measured,Size Height mm Measured (minimum),Size Height mm Measured (maximum),Weathered or Biofouled?,Size Validated?,Shape Validated?,Polymer Validated?,Particle Source,Sodium Azide Present?,Screened for Chemical Contamination?,Particle Cleaning?,Solvent Rinse,Background Contamination Monitored?,Concentration Validated?,Particle Behavior,Uptake Validated?,Uptake Validation Method,Tissue Distribution,Organisms Fed?,Tech A1,Tech A2,Tech A3,Tech A4,Tech A5,Tech A6,Tech 1,Tech 2,Tech 3,Tech 4,Tech 5,Tech 6,Tech 7,Tech 8,Tech 9,Tech 10,Tech 11,Tech 12,Risk B1,Risk 13,Risk 14,Risk 15,Risk 16,Risk 17,Risk 18,Risk 19,Risk 20,Tech Total,Risk Total,Overall Total
10.1016/j.jhazmat.2020.123845,Na,2021,Daphnia magna,Crustacea,Freshwater,Juvenile,In Vivo,NA,Particle Only,water,N,Y,N,iso medium,NA,tween80,NA,8,20,NA,NA,2,4,3,0,50,323.05,mg/L,24551800,particles/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EC50,NA,Fitness,Mortality,Immobilization,Organism,NA,Polyethylene,0.935,estimated,Sphere,NA,NA,NA,NA,NA,0.04,0.048,0.03705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Y,Y,Y,commercial,unknown,Y,soak rinse,"hexane,methanol,deionized water",N,N,detergent,Y,koh digestion microscopy,whole body,N,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,0,0,0,1,2,2,Pass,2,0,2,2,0,0,0,0,17,6,23
10.1016/j.jhazmat.2020.123845,Na,2021,Daphnia magna,Crustacea,Freshwater,Juvenile,In Vivo,NA,Particle Only,water,N,Y,N,iso medium,NA,tween80,NA,8,20,NA,NA,2,4,3,0,50,3.9,mg/L,5070000,particles/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EC50,NA,Fitness,Mortality,Immobilization,Organism,NA,Polyethylene,0.952,reported,Fragment,NA,NA,NA,NA,NA,0.025,0.05,0.03724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Y,Y,Y,modified,unknown,Y,soak rinse,"hexane,methanol,deionized water",N,N,detergent,Y,koh digestion microscopy,whole body,N,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,0,0,0,1,2,2,Pass,2,0,2,2,0,0,0,0,17,6,23
10.1016/j.jhazmat.2020.123845,Na,2021,Daphnia magna,Crustacea,Freshwater,Juvenile,In Vivo,NA,Chemical Transfer,water,N,Y,N,iso medium,NA,tween80,NA,8,20,NA,NA,2,4,3,0,50,0.99,mg/L,1089000,particles/L,NA,NA,NA,benzophenone-3,0.099,mg/L,NA,NA,NA,NA,NA,NA,NA,benzophenone-3,0.0101673,mg/L,NA,EC50,NA,Fitness,Mortality,Immobilization,Organism,NA,Polyethylene,0.952,reported,Fragment,NA,NA,NA,NA,NA,0.025,0.05,0.03972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Y,Y,Y,modified,unknown,Y,soak rinse,"hexane,methanol,deionized water",N,N,detergent,Y,koh digestion microscopy,whole body,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
10.1016/j.jhazmat.2020.123845,Na,2021,Daphnia magna,Crustacea,Freshwater,Juvenile,In Vivo,NA,Particle Only,water,N,Y,N,iso medium,NA,tween80,NA,8,20,NA,NA,2,3,3,0,50,0.05,mg/L,65000,particles/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Metabolism,Oxidative Stress,Reactive Oxygen Species Production,Subcell,whole.body,Polyethylene,0.952,reported,Fragment,NA,NA,NA,NA,NA,0.025,0.05,0.03724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Y,Y,Y,modified,unknown,Y,soak rinse,"hexane,methanol,deionized water",N,N,detergent,Y,koh digestion microscopy,whole body,N,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,0,0,0,1,2,2,Pass,1,0,0,0,0,0,0,0,17,1,18
10.1016/j.jhazmat.2020.123845,Na,2021,Daphnia magna,Crustacea,Freshwater,Juvenile,In Vivo,NA,Particle Only,water,N,Y,N,iso medium,NA,tween80,NA,8,20,NA,NA,2,3,3,0,50,0.1,mg/L,130000,particles/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NOEC,NA,Metabolism,Oxidative Stress,Reactive Oxygen Species Production,Subcell,whole.body,Polyethylene,0.952,reported,Fragment,NA,NA,NA,NA,NA,0.025,0.05,0.03724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Y,Y,Y,modified,unknown,Y,soak rinse,"hexane,methanol,deionized water",N,N,detergent,Y,koh digestion microscopy,whole body,N,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,0,0,0,1,2,2,Pass,1,0,0,0,0,0,0,0,17,1,18
10.1016/j.jhazmat.2020.123845,Na,2021,Daphnia magna,Crustacea,Freshwater,Juvenile,In Vivo,NA,Particle Only,water,N,Y,N,iso medium,NA,tween80,NA,8,20,NA,NA,2,3,3,0,50,0.5,mg/L,650000,particles/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LOEC,increase,Metabolism,Oxidative Stress,Reactive Oxygen Species Production,Subcell,whole.body,Polyethylene,0.952,reported,Fragment,NA,NA,NA,NA,NA,0.025,0.05,0.03724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Y,Y,Y,modified,unknown,Y,soak rinse,"hexane,methanol,deionized water",N,N,detergent,Y,koh digestion microscopy,whole body,N,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,0,0,0,1,2,2,Pass,1,0,0,0,0,0,0,0,17,1,18
10.1016/j.jhazmat.2020.123845,Na,2021,Daphnia magna,Crustacea,Freshwater,Juvenile,In Vivo,NA,Particle Only,water,N,Y,N,iso medium,NA,tween80,NA,8,20,NA,NA,2,3,3,0,50,1,mg/L,1300000,particles/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,increase,Metabolism,Oxidative Stress,Reactive Oxygen Species Production,Subcell,whole.body,Polyethylene,0.952,reported,Fragment,NA,NA,NA,NA,NA,0.025,0.05,0.03724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Y,Y,Y,modified,unknown,Y,soak rinse,"hexane,methanol,deionized water",N,N,detergent,Y,koh digestion microscopy,whole body,N,Pass,Pass,Pass,Pass,Pass,Pass,2,2,2,2,2,2,0,0,0,1,2,2,Pass,1,0,0,0,0,0,0,0,17,1,18
10.1016/j.jhazmat.2020.123845,Na,2021,Daphnia magna,Crustacea,Freshwater,Juvenile,In Vivo,NA,Chemical Transfer,water,N,Y,N,iso medium,NA,tween80,NA,8,20,NA,NA,2,3,3,0,50,0.05,mg/L,55000,particles/L,NA,NA,NA,benzophenone-3,0.005,mg/L,NA,NA,NA,NA,NA,NA,NA,benzophenone-3,0.0005135,mg/L,No,NOEC,NA,Metabolism,Oxidative Stress,Reactive Oxygen Species Production,Subcell,whole.body,Polyethylene,0.952,reported,Fragment,NA,NA,NA,NA,NA,0.025,0.05,0.03972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Y,Y,Y,modified,unknown,Y,soak rinse,"hexane,methanol,deionized water",N,N,detergent,Y,koh digestion microscopy,whole body,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
10.1016/j.jhazmat.2020.123845,Na,2021,Daphnia magna,Crustacea,Freshwater,Juvenile,In Vivo,NA,Chemical Transfer,water,N,Y,N,iso medium,NA,tween80,NA,8,20,NA,NA,2,3,3,0,50,0.1,mg/L,110000,particles/L,NA,NA,NA,benzophenone-3,0.01,mg/L,NA,NA,NA,NA,NA,NA,NA,benzophenone-3,0.001027,mg/L,Yes,LOEC,increase,Metabolism,Oxidative Stress,Reactive Oxygen Species Production,Subcell,whole.body,Polyethylene,0.952,reported,Fragment,NA,NA,NA,NA,NA,0.025,0.05,0.03972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Y,Y,Y,modified,unknown,Y,soak rinse,"hexane,methanol,deionized water",N,N,detergent,Y,koh digestion microscopy,whole body,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
10.1016/j.jhazmat.2020.123845,Na,2021,Daphnia magna,Crustacea,Freshwater,Juvenile,In Vivo,NA,Chemical Transfer,water,N,Y,N,iso medium,NA,tween80,NA,8,20,NA,NA,2,3,3,0,50,0.5,mg/L,550000,particles/L,NA,NA,NA,benzophenone-3,0.05,mg/L,NA,NA,NA,NA,NA,NA,NA,benzophenone-3,0.005135,mg/L,Yes,NA,increase,Metabolism,Oxidative Stress,Reactive Oxygen Species Production,Subcell,whole.body,Polyethylene,0.952,reported,Fragment,NA,NA,NA,NA,NA,0.025,0.05,0.03972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Y,Y,Y,modified,unknown,Y,soak rinse,"hexane,methanol,deionized water",N,N,detergent,Y,koh digestion microscopy,whole body,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
