"","size_f","size.length.um.used.for.conversions","shape","polymer","particle.volume.um3","density.mg.um.3","organism.group","environment","bio.org","treatments","effect","effect_f","effect_10","exposure.duration.d","exposure.route","media.temp","lvl1_f","lvl2_f","dose.mg.L.master","sex","media.ph","media.sal.ppt","dose.particles.mL.master","effect.metric","functional.group","charge","zetapotential.mV","max.size.ingest.mm","acute.chronic_f","dose.mg.L.master.AF.noec","dose.particles.mL.master.AF.noec","dose.um3.mL.master","effect.score"
"1","1µm < 100µm",2,"sphere","PS",4.188790205,1.05e-09,"Crustacea","Freshwater","organism",2,"Y","Y",1,21,"water",20,"Fitness","Mortality",0.00139,NA,NA,NA,316.0362441,"LOEC","COOH",NA,NA,0.11487,"Chronic",0.00278,632.0724882,1323.80952371107,6
"2","1µm < 100µm",2,"sphere","PS",4.188790205,1.05e-09,"Crustacea","Freshwater","organism",2,"Y","Y",1,21,"water",20,"Fitness","Mortality",0.0111,NA,NA,NA,2523.742669,NA,"COOH",NA,NA,0.11487,"Chronic",NA,NA,10571.4285718478,6
"3","1µm < 100µm",2,"sphere","PS",4.188790205,1.05e-09,"Crustacea","Freshwater","organism",2,"N","N",0,21,"water",20,"Fitness","Reproduction",0.00139,NA,NA,NA,316.0362441,NA,"COOH",NA,NA,0.11487,"Chronic",NA,NA,1323.80952371107,4
"4","1µm < 100µm",2,"sphere","PS",4.188790205,1.05e-09,"Crustacea","Freshwater","organism",2,"N","N",0,21,"water",20,"Fitness","Reproduction",0.0111,NA,NA,NA,2523.742669,"HONEC","COOH",NA,NA,0.11487,"Chronic",0.0111,2523.742669,10571.4285718478,4
"5","1µm < 100µm",2,"sphere","PS",4.188790205,1.05e-09,"Crustacea","Freshwater","organism",2,"Y","Y",1,21,"water",20,"Fitness","Mortality",0.00139,NA,NA,NA,316.0362441,"LOEC","COOH",NA,NA,0.11487,"Chronic",0.00278,632.0724882,1323.80952371107,6
"6","1µm < 100µm",2,"sphere","PS",4.188790205,1.05e-09,"Crustacea","Freshwater","organism",2,"N","N",0,21,"water",20,"Fitness","Mortality",0.0111,NA,NA,NA,2523.742669,NA,"COOH",NA,NA,0.11487,"Chronic",NA,NA,10571.4285718478,6
"7","1µm < 100µm",2,"sphere","PS",4.188790205,1.05e-09,"Crustacea","Freshwater","organism",2,"N","N",0,21,"water",20,"Fitness","Reproduction",0.00139,NA,NA,NA,316.0362441,NA,"COOH",NA,NA,0.11487,"Chronic",NA,NA,1323.80952371107,4
"8","1µm < 100µm",2,"sphere","PS",4.188790205,1.05e-09,"Crustacea","Freshwater","organism",2,"N","N",0,21,"water",20,"Fitness","Reproduction",0.0111,NA,NA,NA,2523.742669,"HONEC","COOH",NA,NA,0.11487,"Chronic",0.0111,2523.742669,10571.4285718478,4
"9","1µm < 100µm",2,"sphere","PS",4.188790205,1.05e-09,"Crustacea","Freshwater","organism",2,"Y","Y",1,21,"water",20,"Fitness","Growth",0.00139,NA,NA,NA,316.0362441,"LOEC","COOH",NA,NA,0.11487,"Chronic",0.00278,632.0724882,1323.80952371107,3
"10","1µm < 100µm",2,"sphere","PS",4.188790205,1.05e-09,"Crustacea","Freshwater","organism",2,"N","N",0,21,"water",20,"Fitness","Growth",0.0111,NA,NA,NA,2523.742669,NA,"COOH",NA,NA,0.11487,"Chronic",NA,NA,10571.4285718478,3
"11","1µm < 100µm",18.5,"fragment","PE",530.4369756,1.13e-09,"Crustacea","Freshwater","organism",5,"N","N",0,10,"water",25,"Fitness","Mortality",0.005993938,NA,NA,NA,10,NA,NA,NA,NA,0.112,"Acute",NA,NA,5304.369756,6
"12","1µm < 100µm",18.5,"fragment","PE",530.4369756,1.13e-09,"Crustacea","Freshwater","organism",5,"N","N",0,10,"water",25,"Fitness","Mortality",0.059939378,NA,NA,NA,100,NA,NA,NA,NA,0.112,"Acute",NA,NA,53043.69756,6
"13","1µm < 100µm",18.5,"fragment","PE",530.4369756,1.13e-09,"Crustacea","Freshwater","organism",5,"N","N",0,10,"water",25,"Fitness","Mortality",0.599393782,NA,NA,NA,1000,"NOEC",NA,NA,NA,0.112,"Acute",0.599393782,1000,530436.9756,6
"14","1µm < 100µm",18.5,"fragment","PE",530.4369756,1.13e-09,"Crustacea","Freshwater","organism",5,"Y","Y",1,10,"water",25,"Fitness","Mortality",5.993937824,NA,NA,NA,10000,"LOEC",NA,NA,NA,0.112,"Acute",11.987875648,20000,5304369.756,6
"15","1µm < 100µm",18.5,"fragment","PE",530.4369756,1.13e-09,"Crustacea","Freshwater","organism",5,"Y","Y",1,10,"water",25,"Fitness","Mortality",59.93937824,NA,NA,NA,1e+05,NA,NA,NA,NA,0.112,"Acute",NA,NA,53043697.56,6
"16","1µm < 100µm",18.5,"fragment","PE",530.4369756,1.13e-09,"Crustacea","Freshwater","organism",3,"N","N",0,42,"water",25,"Fitness","Growth",2.996968912,NA,NA,NA,5000,"NOEC",NA,NA,NA,0.112,"Chronic",2.996968912,5000,2652184.878,3
"17","1µm < 100µm",18.5,"fragment","PE",530.4369756,1.13e-09,"Crustacea","Freshwater","organism",3,"Y","Y",1,42,"water",25,"Fitness","Growth",5.993937824,NA,NA,NA,10000,"LOEC",NA,NA,NA,0.112,"Chronic",11.987875648,20000,5304369.756,3
"18","1µm < 100µm",18.5,"fragment","PE",530.4369756,1.13e-09,"Crustacea","Freshwater","organism",3,"N","N",0,42,"water",25,"Fitness","Growth",11.98787565,NA,NA,NA,20000,NA,NA,NA,NA,0.112,"Chronic",NA,NA,10608739.512,3
"19","1µm < 100µm",18.5,"fragment","PE",530.4369756,1.13e-09,"Crustacea","Freshwater","organism",3,"Y","Y",1,42,"water",25,"Fitness","Reproduction",2.996968912,NA,NA,NA,5000,"LOEC",NA,NA,NA,0.112,"Chronic",5.993937824,10000,2652184.878,4
"20","1µm < 100µm",18.5,"fragment","PE",530.4369756,1.13e-09,"Crustacea","Freshwater","organism",3,"Y","Y",1,42,"water",25,"Fitness","Reproduction",5.993937824,NA,NA,NA,10000,NA,NA,NA,NA,0.112,"Chronic",NA,NA,5304369.756,4
"21","1µm < 100µm",18.5,"fragment","PE",530.4369756,1.13e-09,"Crustacea","Freshwater","organism",3,"N","N",0,42,"water",25,"Fitness","Reproduction",11.98787565,NA,NA,NA,20000,NA,NA,NA,NA,0.112,"Chronic",NA,NA,10608739.512,4
"22","1µm < 100µm",18.5,"fragment","PE",530.4369756,1.13e-09,"Crustacea","Freshwater","organism",5,NA,NA,NA,10,"water",25,"Fitness","Mortality",27.57211399,NA,NA,NA,4600,"LC50",NA,NA,NA,0.112,"Acute",275.7211399,46000,2440010.08776,6
"23","1µm < 100µm",47.5,"fiber","PP",14922.5651,8.75e-10,"Crustacea","Freshwater","organism",3,"N","N",0,10,"water",25,"Fitness","Growth",0.293788,NA,NA,NA,22.5,"NOEC",NA,NA,NA,0.112,"Acute",0.293788,22.5,335757.71475,3
"24","1µm < 100µm",47.5,"fiber","PP",14922.5651,8.75e-10,"Crustacea","Freshwater","organism",3,"Y","Y",1,10,"water",25,"Fitness","Growth",0.587576001,NA,NA,NA,45,"LOEC",NA,NA,NA,0.112,"Acute",1.175152002,90,671515.4295,3
"25","1µm < 100µm",47.5,"fiber","PP",14922.5651,8.75e-10,"Crustacea","Freshwater","organism",3,"Y","Y",1,10,"water",25,"Fitness","Growth",1.175152002,NA,NA,NA,90,NA,NA,NA,NA,0.112,"Acute",NA,NA,1343030.859,3
"26","1µm < 100µm",47.5,"fiber","PP",14922.5651,8.75e-10,"Crustacea","Freshwater","organism",3,"N","N",0,10,"water",25,"Fitness","Mortality",0.293788,NA,NA,NA,22.5,"NOEC",NA,NA,NA,0.112,"Acute",0.293788,22.5,335757.71475,6
"27","1µm < 100µm",47.5,"fiber","PP",14922.5651,8.75e-10,"Crustacea","Freshwater","organism",3,"Y","Y",1,10,"water",25,"Fitness","Mortality",0.587576001,NA,NA,NA,45,"LOEC",NA,NA,NA,0.112,"Acute",1.175152002,90,671515.4295,6
"28","1µm < 100µm",47.5,"fiber","PP",14922.5651,8.75e-10,"Crustacea","Freshwater","organism",3,"Y","Y",1,10,"water",25,"Fitness","Mortality",1.175152002,NA,NA,NA,90,NA,NA,NA,NA,0.112,"Acute",NA,NA,1343030.859,6
"29","1µm < 100µm",47.5,"fiber","PP",14922.5651,8.75e-10,"Crustacea","Freshwater","organism",3,NA,NA,NA,10,"water",25,"Fitness","Mortality",0.927064357,NA,NA,NA,71,"LC50",NA,NA,NA,0.112,"Acute",9.27064357,710,1059502.1221,6
"30","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","organism",1,"N","N",0,7,"water",18,"Fitness","Mortality",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,6
"31","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","cell",1,"N","N",0,7,"water",18,"Immune","Immune Cells",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"32","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","cell",1,"Y","Y",1,7,"water",18,"Immune","Immune Cells",1500,NA,NA,35,19149.65893,"LOEC",NA,NA,NA,NA,"Acute",3000,38299.31786,1604278075.1015,1
"33","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Stress","Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
"34","100µm < 1mm",100,"fragment","PE",83775.8041,9.35e-10,"Mollusca","Marine","subcell",1,"N","N",0,7,"water",18,"Metabolism","Oxidative Stress",1500,NA,NA,35,19149.65893,"HONEC",NA,NA,NA,NA,"Acute",1500,19149.65893,1604278075.1015,1
